YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-03,WEEKDAY,15,TRAIN,NS11,24278,33559
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,EW17,14598,12231
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,PE1,47,444
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,TE5,2435,2492
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,EW11,10622,11076
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,BP10,1557,1856
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,DT25,974,2565
2025-03,WEEKDAY,0,TRAIN,SW6,14,582
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,CC26,1476,1356
2025-03,WEEKDAY,23,TRAIN,NE15,1736,12697
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,DT2,1827,438
2025-03,WEEKDAY,22,TRAIN,TE14/NS22,61152,11499
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,SE1,3141,1059
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,TE14/NS22,70281,59180
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,BP9,1146,1636
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,CC28,2264,2717
2025-03,WEEKDAY,23,TRAIN,DT18,6898,1260
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,EW32,2941,1386
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,BP9,978,1037
2025-03,WEEKDAY,21,TRAIN,SE2,1648,7828
2025-03,WEEKDAY,23,TRAIN,EW2/DT32,7099,21921
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,PE1,2297,1995
2025-03,WEEKDAY,17,TRAIN,NS27/CE2/TE20,17688,3920
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,EW31,1861,581
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,NE5,1005,2912
2025-03,WEEKDAY,5,TRAIN,DT34,905,11
2025-03,WEEKDAY,13,TRAIN,BP6/DT1,30843,29084
2025-03,WEEKDAY,13,TRAIN,CC17/TE9,9086,7089
2025-03,WEEKDAY,7,TRAIN,CC28,9620,4548
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,NS9/TE2,21862,17017
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,CC5,2761,3756
2025-03,WEEKDAY,11,TRAIN,PE1,3395,1701
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,EW32,0,514
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,NS4/BP1,11655,23021
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,NE14,22614,9641
2025-03,WEEKDAY,7,TRAIN,NE13,45245,25024
2025-03,WEEKDAY,11,TRAIN,NS7,20087,16067
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,NS9/TE2,28628,26504
2025-03,WEEKDAY,15,TRAIN,SE1,3874,3715
2025-03,WEEKDAY,21,TRAIN,TE4,3354,4210
2025-03,WEEKDAY,16,TRAIN,NS7,20117,24589
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,PE6,1761,1327
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,CC14,2072,1563
2025-03,WEEKDAY,5,TRAIN,NE5,294,33
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,PW1,812,2633
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,CC3,7510,7475
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,CC21,7359,3549
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,DT23,1937,2022
2025-03,WEEKDAY,7,TRAIN,NS14,117324,38205
2025-03,WEEKDAY,22,TRAIN,NE10,5493,13154
2025-03,WEEKDAY,20,TRAIN,CC10/DT26,12737,17116
2025-03,WEEKDAY,0,TRAIN,PE5,27,896
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,CC3,40,25
2025-03,WEEKDAY,14,TRAIN,CC2,4617,6594
2025-03,WEEKDAY,23,TRAIN,CC2,2473,682
2025-03,WEEKENDS/HOLIDAY,23,TRAIN,CC26,351,495
2025-03,WEEKDAY,5,TRAIN,DT5,1922,252
2025-03,WEEKDAY,22,TRAIN,CC6,20419,1236
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,EW1,19594,12199
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,EW33,3198,1474
2025-03,WEEKDAY,22,TRAIN,CC11,10262,6796
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,BP9,1299,1405
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,NS19,21601,21566
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,NS14,17889,16247
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,NE5,7108,8004
2025-03,WEEKDAY,23,TRAIN,SE4,218,1894
2025-03,WEEKDAY,18,TRAIN,CC20,11532,14046
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,PW3,925,371
2025-03,WEEKDAY,6,TRAIN,DT7,2107,2936
2025-03,WEEKDAY,15,TRAIN,SE4,2745,3586
2025-03,WEEKDAY,10,TRAIN,SW6,3929,1377
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,TE19,1989,2198
2025-03,WEEKDAY,10,TRAIN,NE17/PTC,35792,22930
2025-03,WEEKDAY,19,TRAIN,NE1/CC29,92527,48635
2025-03,WEEKDAY,23,TRAIN,TE4,1294,1657
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,PE5,2953,3213
2025-03,WEEKENDS/HOLIDAY,23,TRAIN,BP5,12,8
2025-03,WEEKDAY,8,TRAIN,TE23,7400,1793
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,TE11,554,376
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,DT21,4941,3131
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,DT6,48,35
2025-03,WEEKDAY,9,TRAIN,TE24,5127,1785
2025-03,WEEKDAY,20,TRAIN,TE18,14845,5813
2025-03,WEEKDAY,19,TRAIN,TE14/NS22,102419,64396
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,DT17,234,1084
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,DT24,960,3458
2025-03,WEEKDAY,19,TRAIN,TE25,2424,6465
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,NE1/CC29,11095,44873
2025-03,WEEKDAY,20,TRAIN,EW26,17615,50374
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,DT22,3239,1902
